Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Luis Javier Suarez,9.0,COL,Forward,25-252,90,0,0,0,0,4,2,0,0,2,5,1,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1997-12-02
Adri Embarba,10.0,ESP,Attacking Midfielder,31-096,90,0,0,0,0,3,0,0,0,3,3,0,10,2,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1992-05-06
Largie Ramazani,7.0,BEL,Attacking Midfielder,22-165,82,0,0,0,0,2,2,1,0,1,5,0,2,1,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,2001-02-27
Marko Milovanovic,29.0,SRB,Forward,20-007,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,2003-08-03
Lazaro,14.0,BRA,Attacking Midfielder,21-152,45,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,2002-03-12
Sergio Arribas,19.0,ESP,Midfielder,21-315,45,0,0,0,0,3,0,0,0,0,1,0,3,1,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,2001-09-30
Iddrisu Baba,4.0,GHA,Defensive Midfielder,27-201,76,0,0,0,0,2,0,0,0,3,2,0,0,1,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1996-01-22
Gonzalo Melero,11.0,ESP,Midfielder,29-221,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1994-01-02
Lucas Robertone,5.0,ARG,Defensive Midfielder,26-146,77,0,0,0,0,1,0,0,0,0,3,0,3,1,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1997-03-18
Dion Lopy,6.0,SEN,Midfielder,21-190,13,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,2002-02-02
Sergio Akieme,15.0,ESP,Left Back,25-238,90,0,0,0,0,1,1,0,0,3,0,0,4,3,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1997-12-16
Srdan Babic,22.0,SRB,Centre-Back,27-111,90,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1996-04-21
Edgar Gonzalez,3.0,ESP,Centre-Back,26-132,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1997-04-01
Alejandro Pozo Pozo,17.0,ESP,Right Back,24-170,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1999-02-22
Marc Pubill,18.0,ESP,Defender,20-052,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,2003-06-19
Diego Marino,1.0,ESP,Goalkeeper,33-094,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,1990-05-09
16 Players,,,,,990,0,0,0,0,19,5,1,0,16,25,1,24,12,4,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,home,
Randy Nteka,11.0,ANG,Forward,25-248,81,1,0,1,1,3,1,0,0,2,2,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1997-12-05
Radamel Falcao,9.0,COL,Forward,37-182,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1986-02-09
Alvaro Garcia,18.0,ESP,Attacking Midfielder,30-288,85,0,0,0,0,0,0,1,0,2,0,1,2,0,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1992-10-26
Pep Chavarria,3.0,ESP,Defender / Midfielder,25-123,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1998-04-10
Oscar Trejo,8.0,ARG,Attacking Midfielder,35-107,62,0,0,0,0,1,1,0,0,3,2,0,0,2,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1988-04-25
Salvi,19.0,ESP,Midfielder,32-134,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1991-03-30
Isaac Palazon Camacho,7.0,ESP,Attacking Midfielder,28-227,90,1,0,1,1,3,1,0,0,0,2,0,2,0,3,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1994-12-26
Oscar Valentin,23.0,ESP,Defensive Midfielder,28-356,85,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1994-08-19
Diego Mendez,29.0,ESP,Midfielder,19-347,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,2003-08-29
Unai Lopez,17.0,ESP,Defensive Midfielder,27-285,45,0,0,0,0,2,1,1,0,3,0,0,1,1,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1995-10-29
Pathe Ciss,21.0,SEN,Midfielder,29-148,45,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1994-03-16
Alfonso Espino,12.0,URU,Left Back,31-218,90,0,0,0,0,1,0,0,0,2,2,0,0,3,3,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1992-01-05
Florian Lejeune,24.0,FRA,Centre-Back,32-083,90,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1991-05-20
Aridane Hernandez,5.0,ESP,Centre-Back,34-141,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1989-03-23
Ivan Balliu,20.0,ALB,Right Back,31-222,90,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1991-12-31
Stole Dimitrievski,1.0,MKD,Goalkeeper,29-229,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 11, 2023",Almería,Rayo Vallecano,0-2,https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga,summary,away,1993-12-24
