Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Rafael Borre,19,COL,Forward,26-324,45,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,9/15/1995
Randal Kolo Muani,9,FRA,Forward / Midfielder,23-243,45,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,12/5/1998
Mario Gotze,27,GER,Attacking Midfielder,30-063,90,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,6/2/1992
Jesper Lindstrom,29,DEN,Attacking Midfielder,22-157,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,2/29/2000
Christopher Lenz,25,GER,Defender / Midfielder,27-317,45,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,9/22/1994
Filip Kostic,10,SRB,Defensive Midfielder,29-277,74,0,0,0,0,1,0,1,0,1,1,0,7,0,1,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,10/31/1992
Faride Alidou,11,GER,Forward,21-018,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,7/18/2001
Djibril Sow,8,SUI,Defensive Midfielder,25-180,90,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,2/6/1997
Sebastian Rode,17,GER,Defensive Midfielder,31-298,45,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,10/11/1990
Kristijan Jakic,6,CRO,Defender / Midfielder,25-083,45,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,,,"Friday August 5, 2022",Eintracht Frankfurt,Bayern Munich,6-Jan,"Frankfurt, Germany",summary,home,5/14/1997
