Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Marvin Ducksch,7.0,GER,Forward,29-164,90,0,0,0,0,1,1,1,0,1,0,1,5,2,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1994-03-07
Niclas Fullkrug,11.0,GER,Forward,30-190,90,0,0,0,0,1,0,0,0,1,5,1,0,1,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1993-02-09
Anthony Jung,3.0,GER,Left Winger,31-288,78,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1991-11-02
Leon Opitz,35.0,GER,Midfielder,18-129,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,2005-04-11
Leonardo Bittencourt,10.0,GER,Attacking Midfielder,29-242,67,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1993-12-18
Romano Schmid,20.0,AUT,Forward / Midfielder,23-203,23,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,2000-01-26
Jens Stage,6.0,DEN,Attacking Midfielder,26-283,78,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1996-11-07
Dawid Kownacki,9.0,POL,Forward / Midfielder,26-157,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1997-03-14
Mitchell Weiser,8.0,GER,Right Winger,29-119,58,0,0,0,0,1,0,0,0,2,2,0,1,2,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1994-04-21
Oliver Burke,24.0,SCO,Forward / Midfielder,26-133,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1997-04-07
Senne Lynen,14.0,BEL,Defensive Midfielder,24-180,67,0,0,0,0,0,0,1,0,4,1,0,0,2,1,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1999-02-18
Christian Gross,36.0,GER,Defender / Midfielder,34-191,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1989-02-07
Milos Veljkovic,13.0,SRB,Centre-Back,27-326,90,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1995-09-26
Amos Pieper,5.0,GER,Centre-Back,25-213,90,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1998-01-17
Marco Friedl,32.0,AUT,Centre-Back,25-155,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1998-03-16
Jiri Pavlenka,1.0,CZE,Goalkeeper,31-126,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,1992-04-13
16 Players,,,,,990,0,0,0,0,6,1,2,0,17,11,3,12,16,3,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,home,
Harry Kane,9.0,ENG,Forward,30-021,83,1,1,0,0,6,3,0,0,0,2,0,1,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,away,1993-07-27
Mathys Tel,39.0,FRA,Forward / Midfielder,18-113,7,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,away,2005-04-26
Kingsley Coman,11.0,FRA,Attacking Midfielder,27-066,83,0,0,0,0,2,0,0,0,0,4,0,4,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,away,1996-06-12
Eric Maxim Choupo-Moting,13.0,CMR,Forward / Midfielder,34-148,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,away,1989-03-23
Jamal Musiala,42.0,GER,Attacking Midfielder,20-173,83,0,0,0,0,3,0,0,0,1,2,0,0,1,0,0,,,"Friday August 18, 2023",Werder Bremen,Bayern Munich,0-4,"Bremen, Germany",summary,away,2003-02-25
