Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
<<<<<<< HEAD
Tim Kleindienst,11.0,GER,Forward,28-358,89,1,0,0,0,4,2,0,0,4,1,1,1,0,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1995-08-31
Nathan N'Goumou,19.0,CMR,Forward / Midfielder,24-162,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,2000-03-13
Alassane Plea,14.0,FRA,Attacking Midfielder,31-166,70,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1993-03-10
Tomas Cvancara,31.0,CZE,Forward,24-010,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,2000-08-12
Kevin Stoger,7.0,AUT,Attacking Midfielder,30-362,90,0,0,0,0,0,0,0,0,1,2,0,5,3,2,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1993-08-27
Franck Honorat,9.0,FRA,Attacking Midfielder,28-012,89,0,0,0,0,2,0,0,0,1,0,1,3,0,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1996-08-10
Stefan Lainer,22.0,AUT,Defender / Midfielder,31-362,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1992-08-26
Julian Weigl,8.0,GER,Defensive Midfielder,28-350,90,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1995-09-08
Rocco Reitz,27.0,GER,Defensive Midfielder,22-086,70,0,0,0,0,3,2,0,0,1,0,0,1,0,3,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,2002-05-29
Philipp Sander,16.0,GER,Midfielder,26-184,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1998-02-20
Luca Netz,20.0,GER,Left Back,21-100,89,0,0,0,0,1,0,0,0,0,0,0,1,2,4,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,2003-05-15
Fabio Chiarodia,2.0,ITA,Defender,19-079,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,2005-06-05
Nico Elvedi,30.0,SUI,Centre-Back,27-328,90,1,0,0,0,2,2,0,0,1,0,0,0,1,1,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1996-09-29
Ko Itakura,3.0,JPN,Centre-Back,27-209,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,"Friday August 23, 2024",Mönchengladbach,Leverkusen,2-3,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga,summary,home,1997-01-26
