Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Aimar Oroz,29,ESP,Forward,20-258,80,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,11/27/2001
Pablo Ibanez,19,ESP,Midfielder,23-326,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,9/20/1998
Ezequiel Avila,9,ARG,Forward,28-187,80,1,0,0,0,6,1,1,0,0,4,4,3,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,2/6/1994
Kike,18,ESP,Forward,32-260,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,11/25/1989
Moi Gomez,16,ESP,Left Midfielder,28-050,90,0,0,0,0,2,1,1,0,1,0,0,10,0,2,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,6/23/1994
Lucas Torro,6,ESP,Central Midfielder,28-024,90,0,0,0,0,1,1,0,0,2,2,0,0,2,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,7/19/1994
Jon Moncayola,7,ESP,Central Midfielder,24-091,90,0,0,0,0,1,0,0,0,1,1,0,2,2,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,5/13/1998
Kike Barja,11,ESP,Right Midfielder,25-133,55,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,4/1/1997
Nacho Vidal,2,ESP,Defender,27-200,35,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,1/24/1995
Juan Cruz Armada,3,ESP,Left Back,30-015,90,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,7/27/1992
David Garcia,5,ESP,Centre-Back,28-179,90,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,2/14/1994
Unai Garcia,4,ESP,Centre-Back,30-190,78,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,2/3/1992
Manu Sanchez,20,ESP,Defender,21-353,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,8/23/2000
Ruben Pena,15,ESP,Right Back,31-025,61,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,7/18/1991
Darko Brasanac,8,SRB,Midfielder,30-181,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,2/12/1992
Sergio Herrera,1,ESP,Goalkeeper,29-068,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,6/5/1993
16 Players,,,,,990,2,1,1,1,12,5,5,0,16,9,5,22,7,6,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,home,
Rafa Mir,12,ESP,Forward,25-055,62,1,0,0,0,4,1,0,0,0,2,1,0,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,away,6/18/1997
Youssef En-Nesyri,15,MAR,Forward,25-072,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,away,6/1/1997
Lucas Ocampos,5,ARG,Attacking Midfielder,28-032,79,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,,,"Friday August 12, 2022",Osasuna,Sevilla,1-Feb,"Pamplona, Spain",summary,away,7/11/1994
