Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Gorka Guruzeta,12.0,ESP,Forward,27-338,90,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,1996-09-11
Alex Berenguer,7.0,ESP,Attacking Midfielder,29-042,71,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,1995-07-04
Nico Williams,10.0,ESP,Midfielder,22-034,19,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,2002-07-12
Oihan Sancet,8.0,ESP,Attacking Midfielder,24-112,90,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,2000-04-24
Inaki Williams,9.0,GHA,Attacking Midfielder,30-061,90,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,1994-06-15
Mikel Vesga,6.0,ESP,Defensive Midfielder,31-086,56,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,1993-05-21
Unai Gomez,20.0,ESP,Midfielder,21-082,34,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,2003-05-25
Benat Prados,24.0,ESP,Defensive Midfielder,23-189,56,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,2001-02-07
Ander Herrera,21.0,ESP,Midfielder,35-001,34,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,1989-08-14
Yuri Berchiche,17.0,ESP,Left Back,34-187,90,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-1,"Bilbao, Spain",summary,home,1990-02-09
